Company,Job Title,Job Category,Job Location,Education,Discipline,Required Skills,Desired Skills,Years of Experience
Accenture,Federal - Data Scientist in Alexandria;VA,Technical Solutions,Alexandria VA,MS,data science;Applied Mathematics;Computer Science,Big Data;AWS;Python;Ruby;Kafka;Elastic Search;Kibana;C;C++;Machine Learning ;analytics packages,data analytics;data collection;research,8
Adobe,Sr. Data Scientist;Real - time Bidding,Technical Solutions,Emeryville CA,PhD,Computer Science;Electrical Engineering;Applied Mathematics,Machine Learning ;NLP;Word2Vec;statistical modeling;TensorFlow;R;scikit;pandas;Python;Java;Scala;SQL;Hive;Spark,Git;Basel;Docker;Kubernetes,2
Adobe,Data Scientist,Technical Solutions,Boston MA,BA;BS,Computer Science;Engineering discipline;Applied Mathematics,Python;R;Hadoop;Tableau;Power BI;statistical modeling;Machine Learning ;Data Mining,Communication Skills;team player,2
Adobe,Senior Data Scientist,Technical Solutions,Seattle WA,MS,Computer Science;Electrical Engineering;Applied Mathematics;Econometrics;Operations Research,Java;Python;R;Tableau;Hadoop;MapReduce;Spark;Hive;Pig;Impala,Communication Skills,3
Allstate,D3 Sr Data Scientist - Model Validation,Engineering;Architecture,Menlo Park CA,MS;PhD,Computer Science,R;SAS;SPSS;Matlab;CART;Python;Spark;GLM;Gradient Boosting;unstructured data;NLP;automation;Artificial Intelligence,organize;facilitate teamwork,0
Allstate,Risk Analytics Data Scientist Senior Consultant,Arts;Entertainment;Publishing,Northbrook IL,MS;PhD,Computer Science,SAS;Matlab;Python;SPSS;R;C++,data modeling;Hadoop,0
Allstate,Data Scientist Lead- Allstate Roadside Services,Manufacturing;Mechanical,Northbrook IL,MS;PhD,Computer Science,SAS;SPSS;Matlab;R;CART;Python;SQL;Perl;Shell Scripts;C;Java;Hadoop;Oracle,data analytics,0
Allstate,Data Scientist- Allstate Roadside Services,Manufacturing;Mechanical,Northbrook IL,MS;PhD,Computer Science;Applied Mathematics;Computer Science;finance;economics,Hadoop;Spark;hive;Python;SQL;Perl;Shell Scripts,Agile;Communication Skills,2
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Software Development Engineer Amazon Web Services New Initiative,Software Engineering,US WA Seattle,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,4
Amazon,Salesforce Developer,Developer Relations,US WA Seattle,BS,Computer Science;Software Engineering;MIS equivalent,API;Visualforce pages;Lightning Pages;Apex classes;triggers;designing;coding;testing;debug,Redshift;cloud services;AWS;data visualization;Hadoop;MapReduce;predictive analytics,2
Amazon,Sr;Software Development Engineer EC Windows,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,5
Amazon,Software Development Engineer,Software Engineering,US CA Palo Alto,BS,Computer Science;Electrical Engineering,Java;C#;web services;REST;web development;Data Analytics,APIs;networks;IoT;cloud systems;control systems;machine learning,8
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Software Development Engineer AWS,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,4
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,7
Amazon,Systems Development Manager;AWS Lambda,Software Engineering,US VA Herndon,BA;BS,Computer Science,Java;C;C++;C#;Objective C;Python;JavaScript;AJAX;HTML;CSS;GWT;XUL;Flex;AJAX;XAML;user interface design;UNIX;LINUX;Shell;Perl;Python,Designing;communication skills;Developing;Testing;Technical Expertise;Deployment;documentation;networking;Knowledge on tools,5
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,10
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,10
Amazon,Web Development Engineer AWS Systems Manager,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Sr;Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,10
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,10
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,9
Amazon,Senior Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,5
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,2
Amazon,SOFTWARE DEV ENGINEER BOULDER,Developer Relations,US CO Boulder,BS,Computer Science;Computer Engineering,C;C++;C#;Java;Object Oriented designing;UNIX;Linux;SCRUM;RUP;XP;data mining,Agile;SCRUM;NoSQL;data modeling;communication skills,4
Amazon,SOFTWARE DEV ENGINEER BOULDER,Developer Relations,US CO Boulder,BS,Computer Science;Computer Engineering,C;C++;C#;Java;Object Oriented designing;UNIX;Linux;SCRUM;RUP;XP;data mining,Agile;SCRUM;NoSQL;data modeling;communication skills,4
Amazon,SOFTWARE DEV ENGINEER BOULDER,Developer Relations,US CO Boulder,BS,Computer Science;Computer Engineering,C;C++;C#;Java;Object Oriented designing;UNIX;Linux;SCRUM;RUP;XP;data mining,Agile;SCRUM;NoSQL;data modeling;communication skills,4
Amazon,Senior Software Development Engineer;Alexa Experience and Devices,Software Engineering,US CA Santa Cruz,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,7
Amazon,Sr;Software Development Engineer Higher Education,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,8
Amazon,Software Development Engineer,Software Engineering,US CA San Luis Obispo,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,0
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,8
Amazon,Software Development Engineer,Software Engineering,US CA Palo Alto,BS,Computer Science;Electrical Engineering,Java;C#;web services;REST;web development;Data Analytics,APIs;networks;IoT;cloud systems;control systems;machine learning,8
Amazon,Software Development Engineer;AWS Batch,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Sr;Data Engineer,IT and Data Management,US CA East Palo Alto,BS,Computer Science,ELT;analytic tools;Oracle;SQL;data warehousing;communication skills;documentation,AI;deep learning;ML;DL,7
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science;Electrical Engineering,Java;C#;web services;REST;web development;Data Analytics,APIs;networks;IoT;cloud systems;control systems;machine learning,0
Amazon,Senior Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,0
Amazon,Sr;Software Development Engineer;Maps and Routing,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,6
Amazon,Senior Software Development EngineerFire OS,Software Engineering,US TX Austin,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,6
Amazon,Senior Software Development EngineerFire OS,Software Engineering,US TX Austin,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,6
Amazon,Game Server Engineer,Engineering or Architechture,US CA Irvine,BS,Computer Science,C++;networking;TCP;IP;UDP;SQL;NoSQL,MySQL;data structures;algorithms;UI frameworks;Spring MVC;GWT;jQuery,4
Amazon,Software Development Engineer Amazon Prime Delivery Experience,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Software Development Engineer Amazon Prime Delivery Experience,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Software Development Engineer Amazon Prime Delivery Experience,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,3
Amazon,Software Development Engineer Amazon Prime Delivery Experience,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,8
Amazon,Software Development Engineer Amazon Prime Delivery Experience,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,8
Amazon,Software Development Engineer in Test,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,5
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,5
Amazon,Software Development Engineer,Software Engineering,US CA Irvine,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,0
Amazon,Software Development Engineer;Container Expert,Software Engineering,US WA Seattle,BS,Computer Science,C;C++;Java;Python;algorithm designing;Perl;C#;REACT;UNIX;Linux,Agile;software engineering practices;object oriented analysis;distributed databases;storage systems,5
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,0
Amazon,Software Development Engineer II,Software Engineering,US CA Sunnyvale,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,0
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,3
Amazon,Sr;Software Development Manager AWS ELB,Software Engineering,US CA Cupertino,MS,Computer Engineering,software management,Agile;software development;object oriented analysis;designing;algorithms;distributed databases;storage systems,17
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,5
Amazon,Software Development Manager Amazon Lightsail,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,9
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,5
Amazon,Software Development Engineer;Alexa Entertainment,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,2
Amazon,Mobile Developer;Amazon Alexa,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,SQL;BigQuery;Big Data;Data Analytics;SCRUM;Agile;Kanban;Linux;Unix,multithreaded systems;network servers;embedded reactive systems;distributed systems;coding;Linux kernel;JDBC;ODBC;SQL,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer,Software Engineering,US TX Austin,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,5
Amazon,Software Development Engineer Alexa Machine Learning Platform,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,5
Amazon,Software Engineer,Software Engineering,US CA Cupertino,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,8
Amazon,Software Development Engineer II,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,10
Amazon,Web Development Engineer II,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,3
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,0
Amazon,Software Development Engineer AWS Cryptography,Software Engineering,US VA Herndon,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer AWS Cryptography,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineerv II,Software Engineering,US CA Sunnyvale,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,3
Amazon,Software Development Engineer;Horizon Big Data Platform,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Web Developer Amazon Web Services,Software Engineering,US CO Broomfield,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,12
Amazon,Software Development Engineer: AWS AI Service,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,1
Amazon,Software Development Engineer: AWS AI Service,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,1
Amazon,Windows and Mac Xamarin Software Engineer Amazon Drive,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,8
Amazon,Software Development Engineer AWS AI Deep Learning,Software Engineering,US CA East Palo Alto,MS,Computer Science,Oracle;Redshift;PostgreSQL;Python;Ruby;Java;Data Warehousing;ETL;Data Modeling,REST;SOAP;JSON;communication skills;problem solving,1
Amazon,Sr;Software Development Engineer,Software Engineering,US CA Sunnyvale,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,20
Amazon,Software Development Engineer,Software Engineering,US CA Sunnyvale,BS;MS,Computer Science,OOP;Java;C++;Perl;Web development;AJAX;JavaScript;HTML;CSS;SQLite;OpenGL;Spring;Hibernate,Hadoop;Pig;Spark;Cosmos;communication skills;problem solving,1
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,14
Amazon,Sr;Software Development Manager Traffic Management,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,17
Amazon,Applied Robotics Scientist,Network Engineering,US CA East Palo Alto,PhD,Computer Science;Electrical Engineering,algorithms;Java;C++;MATLAB;Python;scripting language,iOS;Android;Agile;Scrum,3
Amazon,System Development Engineer;AWS Network Engineering,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,2
Amazon,Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,6
Amazon,Sr Applied Scientist Simulation,Engineering or Architechture,US CA East Palo Alto,PhD,Computer Science;Electrical Engineering,Java;C++;R;MATLAB;Python;scripting language,cloud architectures;mobile applications;communication skills,8
Amazon,Senior Applied Robotics Scientist,Engineering or Architechture,US CA East Palo Alto,PhD,Computer Science;Electrical Engineering,Java;C++;R;MATLAB;Python;scripting language,cloud architectures;mobile applications;communication skills,8
Amazon,Web Development Engineer Elastic Beanstalk,Software Engineering,US WA Seattle,BS,Computer Science;Computer Engineering,Java;Python;JavaScript;PHP;Python;C++;Ruby;distributed cloud;CSS;HTML;Data Structures;Object Oriented Design,AWS;Alexa Speechlets;CRM systems;Hadoop;j Query;logistics,0
Amazon,Web Developer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,4
Amazon,Senior Software Engineer,Software Engineering,US CA Sunnyvale,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,14
Amazon,Senior Software Engineer,Software Engineering,US CA Sunnyvale,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,14
Amazon,Sr;Android Software Development Engineer,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,5
Amazon,Software Development Engineer Advertising API,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,2
Amazon,Software Development Manager,Software Engineering,US CA East Palo Alto,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer Distributed Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Senior Software Development Engineer Distributed Database Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer Distributed Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer Distributed Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer Distributed Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
Amazon,Software Development Engineer,Software Engineering,US MA Cambridge,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,3
Amazon,Software Development Engineer Distributed Systems,Software Engineering,US WA Seattle,BS,Computer Science,RESTful APIs;NET;Swift;AJAX;web services;JetBrains plugin;Angular,agile methodologies;distributed systems;web;mobile technologies,7
